data,end,stat,high,low,value,deff
2020年5月20日,"9,753.40","9,773.00","9,829.30","9,684.30",936.41K,-0.20%
2020年5月19日,"9,773.30","9,730.80","9,883.90","9,498.70",1.16M,0.44%
2020年5月18日,"9,730.70","9,678.40","9,930.20","9,524.40",1.18M,0.55%
2020年5月17日,"9,677.70","9,376.60","9,866.00","9,327.80",1.18M,3.18%
2020年5月16日,"9,379.50","9,318.10","9,579.00","9,233.00",1.10M,0.66%
2020年5月15日,"9,318.00","9,778.60","9,819.60","9,223.20",1.56M,-4.71%
2020年5月14日,"9,778.40","9,298.70","9,887.50","9,265.80",1.77M,5.16%
2020年5月13日,"9,298.70","8,813.90","9,384.60","8,799.10",1.50M,5.50%
2020年5月12日,"8,813.80","8,569.80","8,964.50","8,542.80",1.35M,2.73%
2020年5月11日,"8,579.80","8,737.60","9,129.60","8,235.60",2.29M,-1.82%
2020年5月10日,"8,738.80","9,553.90","9,569.40","8,259.30",2.47M,-8.54%
2020年5月9日,"9,554.60","9,806.00","9,910.50","9,533.60",1.49M,-2.57%
2020年5月8日,"9,806.20","9,980.10","10,018.20","9,731.40",1.42M,-1.74%
2020年5月7日,"9,979.80","9,152.70","10,033.00","9,064.80",1.91M,9.05%
2020年5月6日,"9,151.40","9,000.60","9,373.70","8,923.60",1.62M,1.67%
2020年5月5日,"9,001.00","8,874.20","9,078.70","8,800.40",1.05M,1.42%
2020年5月4日,"8,874.70","8,885.50","8,945.50","8,553.20",1.12M,-0.12%
2020年5月3日,"8,885.50","8,966.20","9,169.90","8,742.20",1.15M,-0.90%
2020年5月2日,"8,966.30","8,821.60","8,986.20","8,771.30",890.34K,1.64%
2020年5月1日,"8,821.60","8,628.60","9,040.30","8,621.00",1.11M,2.23%
2020年4月30日,"8,629.00","8,770.60","9,437.50","8,425.50",2.04M,-1.62%
2020年4月29日,"8,770.90","7,746.70","8,918.50","7,729.70",1.83M,13.22%
2020年4月28日,"7,746.90","7,766.00","7,770.10","7,655.30",808.09K,-0.25%
2020年4月27日,"7,766.00","7,679.40","7,768.50","7,637.70",980.50K,1.13%
2020年4月26日,"7,678.90","7,540.40","7,679.40","7,520.50",921.59K,1.84%
2020年4月25日,"7,540.40","7,503.90","7,684.60","7,451.00",861.93K,0.49%
2020年4月24日,"7,503.80","7,491.30","7,583.50","7,423.50",951.95K,0.20%
2020年4月23日,"7,488.50","7,112.80","7,655.40","7,036.50",1.34M,5.28%
2020年4月22日,"7,112.90","6,842.50","7,137.40","6,821.80",914.18K,3.95%
2020年4月21日,"6,842.50","6,833.40","6,919.30","6,774.30",892.57K,0.13%
2020年4月20日,"6,833.50","7,122.90","7,207.50","6,771.20",1.26M,-4.06%
2020年4月19日,"7,122.90","7,230.90","7,238.00","7,079.10",5.93M,-1.49%
2020年4月18日,"7,230.80","7,035.90","7,259.40","7,031.50",796.45K,2.77%
2020年4月17日,"7,035.80","7,085.50","7,142.80","7,005.80",810.10K,-0.70%
2020年4月16日,"7,085.60","6,629.10","7,159.70","6,520.50",1.54M,6.89%
2020年4月15日,"6,629.10","6,851.30","6,929.50","6,615.90",1.00M,-3.24%
2020年4月14日,"6,850.90","6,841.80","6,970.80","6,768.60",999.53K,0.14%
2020年4月13日,"6,841.30","6,918.10","6,920.30","6,618.50",1.25M,-1.10%
2020年4月12日,"6,917.60","6,867.90","7,158.80","6,785.10",1.10M,0.73%
2020年4月11日,"6,867.80","6,862.70","6,931.40","6,765.10",845.58K,0.07%
2020年4月10日,"6,863.10","7,289.00","7,294.40","6,756.10",1.37M,-5.84%
2020年4月9日,"7,289.00","7,361.10","7,361.10","7,140.30",963.55K,-0.98%
2020年4月8日,"7,361.20","7,185.60","7,396.10","7,153.10",983.94K,2.45%
2020年4月7日,"7,185.20","7,332.30","7,440.30","7,101.70",1.32M,-2.01%
2020年4月6日,"7,332.30","6,772.80","7,335.00","6,770.10",1.53M,8.26%
2020年4月5日,"6,772.70","6,857.50","6,889.40","6,686.00",842.33K,-1.23%
2020年4月4日,"6,857.40","6,735.90","6,958.60","6,679.10",1.05M,1.80%
2020年4月3日,"6,735.90","6,799.90","7,026.30","6,623.60",1.35M,-0.95%
2020年4月2日,"6,800.50","6,638.80","7,182.70","6,567.90",1.74M,2.44%
2020年4月1日,"6,638.50","6,412.40","6,661.30","6,157.40",1.40M,3.52%